303 22
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##>                    h
##>                    h
##>*                   h
##>                    h
##>                    h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##>                    h
##>                    h
##>*                   h
##>                   h
##>                    h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##>                    h
##>                    h
##>*                   h
##>                    h
##>                    h
##>                    h
##>                    h
###                    h
##>                    h
##>                    h
####                   h
##>                    h
##>                    h
##>                    h
##>  *                 h
##>                    h
##>                    h
##>                    h
##> |                  h
##> |                  h
##> |                  h
##>                    h
##>                    h
##>                    h
##>                    h
###                    h
##>                    h
##>                    h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
##>   <#               h
##>   <#               h
##                     h
##                     h
##                     h
##>   <#               h
##>   <#               h
##                     h
##                     h
##                     h
##)                    h
#>                     h
#>  #                  h
#>  #                  h
#>  #                  h
#>  #                  h
#>  #>                 h
#>  #                  h
#>  #                  h
#>  #                  h
#>  #                  h
#>  #                  h
#>  #                  h
#>  #                  h
#>                     h
#>                     h
#>                     h
#>                     h
###                    h
##                     h
##                     h
##                     h
## |>                  h
##                     h
##                     h
##                     h
##>                    h
####                   h
#>                     h
#>                     h
#>                     h
#>  *                  h
#>                     h
#>                     h
#>                     h
####                   h
##                     h
##                     h
##  |##################h
##                     h
##                     h
##                     h
##>                    h
##>                    h
###                    h
#>                     h
#>                     h
#> |                   h
#>                     h
#>|                    h
#>                     h
#>                     h
#>                     h
#> |                   h
#>                     h
#>                     h
#>                     h
####                   h
#>                     h
#>|                    h
#>                     h
##                     h
##                     h
#>                     h
#>                     h
#>                     h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#>                     h
#>                     h
#                      h
#                      h
#                      h
#>                     h
#>                     h
#                      h
#                      h
#                      h
# |>                   h
#                      h
#                      h
#                      h
#                      h
#>                     h
#                      h
#                      h
#                      h
#                      h
#>                     h
#    <#                h
#    <#                h
#    <#                h
#    <#                h
#    <#                h
#    <#                h
#    <#                h
#    <#                h
#    <#                h
#                      h
#)                     h
#                      h
####>                  h
#>                     h
#>  *                  h
#>                     h
#>                     h
#>                     h
#>   *                 h
#>                     h
#>                     h
#>                     h
#>  *                  h
#>                     h
#>                     h
#>                     h
####                   h
####                   h
####                   h
#>                     h
#>                     h
#>                     h
#>                     h
#> *                   h
#>                     h
#>                     h
#>                     h
#>  *                  h
#>                     h
#>                     h
#>                     h
####                   h
####)                  h
#>                     h
#>                     h
#>                     h
#>                     h
#>   *                 h
##                     h
##                     h
##   |#################h
##                     h
##                     h
#>                     h
#>                     h
#>                     h
#> *                   h
#>                     h
#>                     h
#>  |                  h
#>                     h
#> |  <################h
#>                     h
#>|  <#################h
#>|                    h
#>|                    h
#>                     h
#>                     h
#>                     h
#> *                   h
#>                     h
#>                     h
#>                     h
#>  |                  h
#>                     h
#> |                   h
#> |                   h
#>                     h
#>                     h
#>   |                 h
#>                     h
#>  |                 h
#>                     h
#> |                   h
#> |                   h
#>                     h
#>                     h
####> *                h
#>                     h
#######> *             h
#>                     h
#>                     h
#>                     h
#>_____________________h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
#######################h
255 3
